#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Feb 21 16:08:29 EST 2018,0,0,Assignment2Suite, , ,ContainsTest0- ContainsTest1- EfficiencyTest1- EmptyTest0- EmptyTest1- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest0- SizeTest1- SizeTest2- , ,
1,Wed Feb 21 16:12:03 EST 2018,69,69,Assignment2Suite,ContainsTest0+ ContainsTest1+ EfficiencyTest1+ EmptyTest0+ FindMinMaxTest0+ FindMinMaxTest1+ HeightTest+ InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0+ InsertTest1+ InsertTest2+ RemoveTest0+ RemoveTest2+ RemoveTest3+ RemoveTest5+ SizeTest0+ SizeTest1+ , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest1 RemoveTest4 RemoveTest6 RemoveTest7 SizeTest2 , ,
2,Wed Feb 21 16:25:24 EST 2018,42,-27,Assignment2Suite,ContainsTest0 EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 SizeTest0 SizeTest1 , ,ContainsTest1- EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1- InsertAfterRemoveTest2- RemoveTest0- RemoveTest1 RemoveTest2- RemoveTest3- RemoveTest4 RemoveTest5- RemoveTest6 RemoveTest7 SizeTest2 , ,
3,Wed Feb 21 16:26:30 EST 2018,42,0,Assignment2Suite,ContainsTest0 EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 SizeTest0 SizeTest1 , ,ContainsTest1 EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
4,Wed Feb 21 16:29:17 EST 2018,69,27,Assignment2Suite,ContainsTest0 ContainsTest1+ EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 RemoveTest0+ RemoveTest2+ RemoveTest3+ RemoveTest5+ SizeTest0 SizeTest1 , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest1 RemoveTest4 RemoveTest6 RemoveTest7 SizeTest2 , ,
5,Wed Feb 21 16:33:06 EST 2018,69,0,Assignment2Suite,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest2 RemoveTest3 RemoveTest5 SizeTest0 SizeTest1 , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest1 RemoveTest4 RemoveTest6 RemoveTest7 SizeTest2 , ,
6,Wed Feb 21 16:38:32 EST 2018,69,0,Assignment2Suite,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest2 RemoveTest3 RemoveTest5 SizeTest0 SizeTest1 , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest1 RemoveTest4 RemoveTest6 RemoveTest7 SizeTest2 , ,
7,Wed Feb 21 16:42:37 EST 2018,69,0,Assignment2Suite,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest2 RemoveTest3 RemoveTest5 SizeTest0 SizeTest1 , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest1 RemoveTest4 RemoveTest6 RemoveTest7 SizeTest2 , ,
8,Wed Feb 21 16:52:49 EST 2018,73,4,Assignment2Suite,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest2 RemoveTest3 RemoveTest5 SizeTest0 SizeTest1 SizeTest2+ , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest1 RemoveTest4 RemoveTest6 RemoveTest7 , ,
9,Wed Feb 21 16:56:07 EST 2018,73,0,Assignment2Suite,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest2 RemoveTest3 RemoveTest5 SizeTest0 SizeTest1 SizeTest2 , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest1 RemoveTest4 RemoveTest6 RemoveTest7 , ,
